frame,veh_x,veh_y,veh_vx,veh_vy,ped_x,ped_y,ped_vx,ped_vy,distance,action
1,0.5367563017385962,0.0370695602987325,-0.2689418068339622,0.18590440351715698,13.345314515125416,-3.431218902385057,-1.1256817865278812,0.14134687443410066,13.269822469276086,walking
2,0.5099426439897402,0.0370695602987325,-0.26813657748856023,0.0,13.234244000696672,-3.4358270261522668,-1.1107051442874472,-0.04608123767209982,13.18972538442241,walking
3,0.4964955530759024,0.0184791199470168,-0.13447090913837834,-0.18590440351715698,13.058931049394852,-3.441353135534971,-1.7531295130181945,-0.055261093827043695,13.030165955783062,walking
4,0.442868236433911,0.055659999859472,-0.5362731664199138,0.371808799124552,12.69612881068936,-3.357144502365303,-3.628022387054912,0.8420863316966809,12.719655233967966,walking
5,0.4159740557505148,0.0370695602987325,-0.2689418068339616,-0.18590439560739502,12.372855177460076,-3.330683076796519,-3.232736332292845,0.2646142556878406,12.422107871990024,walking
6,0.375713307087821,0.055659999859472,-0.402607486626938,0.18590439560739502,12.048305725089644,-3.268849656750043,-3.24549452370432,0.6183342004647585,12.136794396119742,walking
7,0.3354525584251272,0.055659999859472,-0.402607486626938,0.0,11.94951184125292,-3.2575315329887866,-0.987938838367235,0.11318123761256516,12.077400844485368,walking
8,0.3384899340719627,0.0507053945381158,0.03037375646835483,-0.049546053213561994,11.845407006942834,-3.2813906312528625,-1.0410483431008721,-0.2385909826407584,11.979649596170132,walking
9,0.3108195794835661,0.0521028473210624,-0.2767035458839662,0.013974527829465969,11.712160132905224,-3.2988740425322987,-1.3324687403761004,-0.174834112794362,11.883585844829355,walking
10,0.2683781508692981,0.0370695602987325,-0.42441428614267973,-0.150332870223299,11.534904684073778,-3.3270095353496814,-1.772554488314455,-0.281354928173827,11.7580461083115,walking
11,0.2415644919761627,0.0370695602987325,-0.26813658893135417,0.0,11.361201421820455,-3.33734880780691,-1.7370326225332278,-0.10339272457228432,11.620371111740182,walking
12,0.2146703124370458,0.0184791199470168,-0.2689417953911691,-0.18590440351715698,11.189643453722136,-3.366141697240153,-1.715579680983197,-0.2879288943324321,11.485020397372653,walking
13,0.174409563774352,0.0184791199470168,-0.402607486626938,0.0,11.006366444908483,-3.3760452279042164,-1.8327700881365239,-0.09903530664063354,11.351391343042662,walking
14,0.1475959048812167,0.0184791199470168,-0.2681365889313528,0.0,10.83805901432832,-3.3857214841283643,-1.6830743058016395,-0.09676256224147917,11.219384263284532,walking
15,0.1616660460655106,0.0174627906503284,0.14070141184293894,-0.010163292966883994,10.65088993807714,-3.434215121457993,-1.8716907625117862,-0.48493637329628747,11.042549445924346,walking
16,0.0948226424267883,0.0355450663536998,-0.668434036387223,0.18082275703371398,10.385815994675728,-3.462913708608068,-2.650739434014131,-0.28698587150075117,10.869395474272654,walking
17,0.0670744075558291,0.0184791199470168,-0.27748234870959204,-0.17065946406682997,10.243773965227817,-3.481943679940107,-1.4204202944791078,-0.19029971332038986,10.761885228206573,walking
18,0.0402607486626937,0.0184791199470168,-0.26813658893135395,0.0,10.071866618232235,-3.5041823676723745,-1.7190734699558163,-0.22238687732267337,10.63213338322742,walking
19,0.0425971914679518,0.0146678850844352,0.023364428052581043,-0.038112348625816,9.93090072684446,-3.5295941622212874,-1.409658913877756,-0.2541179454891296,10.504301036609304,walking
20,0.0,0.0,-0.425971914679518,-0.146678850844352,9.68970336865194,-3.604197278757161,-2.4119735819251886,-0.7460311653587359,10.338306892168818,walking
21,-0.0129798023527861,-0.0007622469725163,-0.129798023527861,-0.007622469725163,9.404566679205848,-3.6008327702605496,-2.851366894460927,0.03364508496611407,10.082196660696754,walking
22,-0.0402607486626937,0.0,-0.272809463099076,0.007622469725163,9.299074778852727,-3.647164791479993,-1.0549190035312073,-0.46332021219443575,10.026215592721067,walking
23,-0.053162669588638,-0.0008892881346023,-0.12901920925944305,-0.008892881346023,9.225445260041957,-3.711774427844951,-0.7362951881077073,-0.6460963636495798,9.993159341866157,walking
24,-0.0666097593581964,-0.0008892881346023,-0.1344708976955839,0.0,9.038831198844282,-3.791441014129034,-1.8661406119767499,-0.7966658628408263,9.862927427024424,walking
25,-0.0938907068123834,-0.0187174807228255,-0.27280947454187005,-0.178281925882232,8.779242873432983,-3.872258239341999,-2.5958832541129873,-0.808172252129653,9.67379325348734,walking
26,-0.1202370771444671,-0.0008892881346023,-0.263463703320837,0.178281925882232,8.520050189300516,-3.817654432284381,-2.5919268413246677,0.5460380705761825,9.445753554496749,walking
27,-0.1473649009641099,-0.0190986042090836,-0.27127823819642793,-0.182093160744813,8.268265457836304,-3.828486569496636,-2.5178473146421254,-0.10832137212255066,9.23765505991866,walking
28,-0.1876256496268036,-0.0190986042090836,-0.4026074866269369,0.0,8.010318869383182,-3.8353922688340174,-2.5794658845312135,-0.06905699337381499,9.042698251706858,walking
29,-0.1866910725047005,-0.0206230981541163,0.009345771221030974,-0.015244939450326997,7.843751368536163,-3.888704133884137,-1.6656750084701955,-0.5331186505011942,8.91347612875272,walking
30,-0.2281979239968652,-0.0371808799124551,-0.4150685149216471,-0.16557781758338797,7.654923180618883,-3.9489676212801967,-1.8882818791727995,-0.6026348739605991,8.800322372503105,walking
31,-0.2808127832341907,-0.0388324150195738,-0.5261485923732547,-0.016515351071187054,7.492078531533052,-3.978688636017216,-1.6284464908583107,-0.29721014737019047,8.714373553693797,walking
32,-0.294415635857433,-0.0570574526424186,-0.13602852623242345,-0.18225037622844795,7.300361221566408,-4.016978355343393,-1.9171730996664316,-0.38289719326177085,8.565139173983622,walking
33,-0.3079406081981127,-0.0569304114803325,-0.13524972340679675,0.001270411620860959,7.078392666621369,-4.032340345059108,-2.2196855494503964,-0.1536198971571512,8.3881942864184,walking
34,-0.3215408204579361,-0.07513972834579,-0.13600212259823385,-0.18209316865457492,6.973273570188685,-4.173107671884508,-1.0511909643268336,-1.4076732682539994,8.367057921411563,walking
